	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	description	symbol	entrez	ensembl
Csrp1	148.662512098287	0.518208979131019	0.167728174054984	3.08957622683678	0.0020044226378896	0.255838253651257	cysteine and glycine-rich protein 1	Csrp1	13007	ENSMUSG00000026421
Hspa5	119.552526320791	-1.00730976055554	0.209905727348803	-4.79886744053287	1.59565354924445e-06	0.00453644304050196	heat shock protein 5	Hspa5	14828	ENSMUSG00000026864
Cenpb	96.1373825934124	0.491910726448501	0.186540441410305	2.63701920468023	0.00836380963265424	0.485271648686449	centromere protein B	Cenpb	12616	ENSMUSG00000068267
Snap25	447.840336061724	-0.673072599845022	0.231235485166021	-2.91076691521534	0.00360542869220706	0.353456336963609	synaptosomal-associated protein 25	Snap25	20614	ENSMUSG00000027273
Bcas1	125.691205730394	0.716100072844744	0.209303618008723	3.42134588812937	0.000623120287644717	0.220355937453324	brain enriched myelin associated protein 1	Bcas1	76960	ENSMUSG00000013523
Rps21	89.816042364786	1.05105987388893	0.284840432082624	3.68999536408527	0.000224258138738928	0.106260981405795	ribosomal protein S21	Rps21	66481	ENSMUSG00000039001
Rps27	104.682077559349	0.940639740364733	0.250131766239565	3.76057689315571	0.000169521954440093	0.0963901832946371	ribosomal protein S27	Rps27	57294	ENSMUSG00000090733
Dnaja1	51.3141924355994	-0.818653710931201	0.28053487759091	-2.9181887042402	0.00352071215634619	0.353456336963609	DnaJ heat shock protein family (Hsp40) member A1	Dnaja1	15502	ENSMUSG00000028410
Rps8	121.939533907758	0.577036633334166	0.203703187265015	2.83273247258252	0.00461519936341081	0.41956524027847	ribosomal protein S8	Rps8	20116	ENSMUSG00000047675
Rpl11	117.856696826756	0.574681637982092	0.18385638556687	3.1257094291842	0.00177376719230912	0.255838253651257	ribosomal protein L11	Rpl11	67025	ENSMUSG00000059291
Ywhah	172.190715616978	-0.849107352233981	0.269098447865998	-3.15537811149624	0.00160290225781084	0.255838253651257	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	Ywhah	22629	ENSMUSG00000018965
Rpl9	203.203332513298	0.726939074673303	0.220565769509485	3.29579279817508	0.000981443717564992	0.220355937453324	ribosomal protein L9	Rpl9	20005	ENSMUSG00000047215
Atp5me	47.557635617344	0.866606510747643	0.283122139902222	3.06089276891921	0.00220678111857687	0.261411613338085	ATP synthase membrane subunit e	Atp5me	11958	ENSMUSG00000050856
Ywhag	318.524517083579	-0.433206751076966	0.151686288625786	-2.85593876019801	0.00429097890098505	0.40664176718335	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	Ywhag	22628	ENSMUSG00000051391
Gnb2	83.5239571589539	0.532190083998417	0.201665395937431	2.63897572275381	0.00831569357464026	0.485271648686449	guanine nucleotide binding protein (G protein), beta 2	Gnb2	14693	ENSMUSG00000029713
Hsph1	79.4387056396779	-0.809909912285911	0.24161767865844	-3.35203084800277	0.000802210795697623	0.220355937453324	heat shock 105kDa/110kDa protein 1	Hsph1	15505	ENSMUSG00000029657
Rps5	95.5202893589526	0.684136995436184	0.209377897480596	3.26747476055627	0.00108511541482467	0.220355937453324	ribosomal protein S5	Rps5	20103	ENSMUSG00000012848
Eml2	93.026938584887	0.677589637080434	0.218977766873714	3.09433074761057	0.00197257447460125	0.255838253651257	echinoderm microtubule associated protein like 2	Eml2	72205	ENSMUSG00000040811
Cadm4	75.9201639396299	0.794390564709182	0.263672912084678	3.01278792132453	0.00258859750095866	0.294375307809019	cell adhesion molecule 4	Cadm4	260299	ENSMUSG00000054793
Axl	29.1441415796384	1.1162201326323	0.421758272735539	2.64658740513246	0.00813084898841355	0.485271648686449	AXL receptor tyrosine kinase	Axl	26362	ENSMUSG00000002602
Calr	192.897133537873	-0.768238156769041	0.234887819670976	-3.27065983176636	0.00107296890132062	0.220355937453324	calreticulin	Calr	12317	ENSMUSG00000003814
Hspa8	456.217258871646	-1.1138646776679	0.289243974044949	-3.85095205992021	0.000117659531436145	0.0836265119682399	heat shock protein 8	Hspa8	15481	ENSMUSG00000015656
Pcbp4	74.3944782952137	0.566953536397004	0.207139997434481	2.73705485864136	0.00619919543406411	0.451905451770366	poly(rC) binding protein 4	Pcbp4	59092	ENSMUSG00000023495
Rps12	128.279667210057	0.908791557477364	0.280348639303127	3.24164782727814	0.00118840781079812	0.225242893739936	ribosomal protein S12	Rps12	20042	ENSMUSG00000061983
Tspyl4	115.785695286098	-0.667982705636369	0.214629386818016	-3.11226116581487	0.00185660172482092	0.255838253651257	TSPY-like 4	Tspyl4	72480	ENSMUSG00000039485
Ptges3	29.0736790042983	-0.793590537016553	0.300937040022758	-2.63706500521351	0.00836268043329392	0.485271648686449	prostaglandin E synthase 3	Ptges3	56351	ENSMUSG00000071072
Rps27a	119.997146467376	0.732071921837675	0.216448981994205	3.38219156816027	0.00071909978665386	0.220355937453324	ribosomal protein S27A	Rps27a	78294	ENSMUSG00000020460
Tbc1d9b	152.532040717061	0.590645706219146	0.191765732243291	3.0800378112905	0.00206974317058702	0.255838253651257	TBC1 domain family, member 9B	Tbc1d9b	76795	ENSMUSG00000036644
Srebf1	29.0497850679513	1.03161703683952	0.375577811691527	2.74674649227367	0.00601896381802001	0.451905451770366	sterol regulatory element binding transcription factor 1	Srebf1	20787	ENSMUSG00000020538
Kif1c	124.966560592659	0.543493530469637	0.202543445097112	2.68334297468404	0.00728901957286196	0.485271648686449	kinesin family member 1C	Kif1c	16562	ENSMUSG00000020821
Crk	75.0172552164299	-0.793080211230656	0.296676842159428	-2.67321239318191	0.00751286670390612	0.485271648686449	v-crk avian sarcoma virus CT10 oncogene homolog	Crk	12928	ENSMUSG00000017776
Cltc	132.791151587083	-0.570129680053763	0.202496521154827	-2.81550357903605	0.00487008544818484	0.41956524027847	clathrin heavy chain	Cltc	67300	ENSMUSG00000047126
Ywhaq	37.1724719076247	-0.815486648520141	0.293743013842455	-2.77619078613225	0.005499992374284	0.446756523431126	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	Ywhaq	22630	ENSMUSG00000076432
Rps29	186.883612714947	0.803052343073269	0.20162645165119	3.98287197189055	6.80874389760891e-05	0.0645241963363404	ribosomal protein S29	Rps29	20090	ENSMUSG00000034892
Hsp90aa1	217.473058404527	-0.847070404192844	0.272002970316515	-3.11419541928955	0.00184447281879485	0.255838253651257	heat shock protein 90, alpha (cytosolic), class A member 1	Hsp90aa1	15519	ENSMUSG00000021270
Zfr	115.801940812903	-0.633336069155486	0.224277077100459	-2.82390013880821	0.00474431641825542	0.41956524027847	zinc finger RNA binding protein	Zfr	22763	ENSMUSG00000022201
Ywhaz	221.461249711825	-0.794960402381513	0.268902674535597	-2.9563127393747	0.00311341224714629	0.340439654562957	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	Ywhaz	22631	ENSMUSG00000022285
Pfdn5	91.4006158580113	0.556336280999841	0.210733548196699	2.63999864169969	0.00829063595030384	0.485271648686449	prefoldin 5	Pfdn5	56612	ENSMUSG00000001289
Mapk1	166.186028442725	-0.47057884022922	0.174901688918474	-2.69053342560099	0.00713378881602666	0.485271648686449	mitogen-activated protein kinase 1	Mapk1	26413	ENSMUSG00000063358
Cct8	36.0531972088165	-0.755678448919433	0.276023785661989	-2.73772945728966	0.00618649458589571	0.451905451770366	chaperonin containing TCP1 subunit 8	Cct8	12469	ENSMUSG00000025613
